17 | 117 | 100 | 37 | 117, 100
17 | 117 | 100 | 0 | 117, 100
17 | 117 | 100 | 60 | 117, 100
17 | 117 | 100 | 26 | 117, 100
17 | 117 | 100 | 91 | 117, 100
17 | 117 | 100 | 84 | 117, 100
17 | 117 | 100 | 14 | 117, 100
17 | 117 | 100 | 43 | 117, 100
17 | 117 | 100 | 46 | 202, 195
17 | 117 | 100 | 15 | 157, 145
17 | 117 | 100 | 62 | 117, 100
17 | 117 | 100 | 41 | 117, 100
17 | 117 | 100 | 52 | 117, 100
17 | 117 | 100 | 39 | 117, 100
17 | 117 | 100 | 24 | 117, 100
17 | 117 | 100 | 43 | 117, 100
17 | 117 | 100 | 42 | 117, 100
17 | 117 | 100 | 4 | 117, 100
17 | 117 | 100 | 7 | 117, 100
17 | 117 | 100 | 14 | 117, 100
17 | 117 | 100 | 68 | 117, 100
17 | 117 | 100 | 73 | 85, 74
17 | 117 | 100 | 56 | 117, 100
17 | 117 | 100 | 48 | 117, 100
17 | 117 | 100 | 12 | 117, 100
17 | 117 | 100 | 5 | 117, 100
17 | 117 | 100 | 11 | 117, 100
17 | 117 | 100 | 23 | 117, 100
17 | 117 | 100 | 48 | 202, 195
17 | 117 | 100 | 31 | 117, 100
17 | 117 | 100 | 36 | 117, 100
17 | 117 | 100 | 0 | 117, 100
17 | 117 | 100 | 50 | 117, 100
17 | 117 | 100 | 3 | 117, 100
17 | 117 | 100 | 67 | 117, 100
17 | 117 | 100 | 75 | 117, 100
17 | 117 | 100 | 86 | 117, 100
17 | 117 | 100 | 44 | 117, 100
17 | 117 | 100 | 26 | 117, 100
17 | 117 | 100 | 40 | 117, 100
17 | 117 | 100 | 67 | 117, 100
17 | 117 | 100 | 0 | 117, 100
17 | 117 | 100 | 25 | 117, 100
17 | 117 | 100 | 88 | 117, 100
17 | 117 | 100 | 8 | 117, 100
17 | 117 | 100 | 1 | 117, 100
17 | 117 | 100 | 64 | 117, 100
17 | 117 | 100 | 69 | 117, 100
17 | 117 | 100 | 15 | 117, 100
17 | 117 | 100 | 27 | 117, 100
17 | 117 | 100 | 2 | 117, 100
17 | 117 | 100 | 25 | 117, 100
17 | 117 | 100 | 2 | 117, 100
17 | 117 | 100 | 5 | 117, 100
17 | 117 | 100 | 26 | 117, 100
17 | 117 | 100 | 88 | 117, 100
17 | 117 | 100 | 97 | 117, 100
17 | 117 | 100 | 88 | 85, 74
17 | 117 | 100 | 37 | 117, 100
17 | 117 | 100 | 50 | 117, 100
17 | 117 | 100 | 42 | 117, 100
17 | 117 | 100 | 10 | 117, 100
17 | 117 | 100 | 0 | 117, 100
17 | 117 | 100 | 63 | 117, 100
17 | 117 | 100 | 40 | 117, 100
17 | 117 | 100 | 45 | 117, 100
17 | 117 | 100 | 28 | 117, 100
17 | 117 | 100 | 18 | 117, 100
17 | 117 | 100 | 0 | 117, 100
17 | 117 | 100 | 99 | 117, 100
17 | 117 | 100 | 0 | 117, 100
17 | 117 | 100 | 29 | 117, 100
17 | 117 | 100 | 47 | 117, 100
17 | 117 | 100 | 2 | 117, 100
17 | 117 | 100 | 49 | 117, 100
17 | 117 | 100 | 24 | 117, 100
17 | 117 | 100 | 1 | 117, 100
17 | 117 | 100 | 0 | 117, 100
17 | 117 | 100 | 65 | 117, 100
17 | 117 | 100 | 0 | 117, 100
17 | 117 | 100 | 11 | 117, 100
17 | 117 | 100 | 49 | 117, 100
17 | 117 | 100 | 14 | 117, 100
17 | 117 | 100 | 31 | 117, 100
17 | 117 | 100 | 57 | 117, 100
17 | 117 | 100 | 13 | 117, 100
17 | 117 | 100 | 44 | 117, 100
